member,date_created,date_updated,id,email,name,badge,observed_id,active,comments,last_audio_ts,last_audio_ts_fract,last_proximity_ts,last_contacted_ts,last_voltage,last_seen_ts,last_unsync_ts,project,region
O362RWVN8T,2019/5/28 12:56,2019/5/28 12:56,42,,Badge339,E6:7F:88:E5:B3:61,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
O2X9FPB1Y1,2019/5/28 12:56,2019/5/28 12:56,41,,Badge338,D3:A9:CC:85:5F:85,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
9BXNYP9YMX,2019/5/28 12:56,2019/5/28 12:56,40,,Badge337,EF:CF:86:06:EB:B6,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
IG8ZAKUAIT,2019/5/28 12:56,2019/5/28 12:56,39,,Badge336,CB:D7:1E:63:70:D5,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
PNVAQ4FSKG,2019/5/28 12:56,2019/5/28 12:56,38,,Badge335,DC:0C:24:F8:92:1F,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
SCYM0YR2WV,2019/5/28 12:56,2019/5/28 12:56,37,,Badge334,E7:6B:ED:CA:CF:7D,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
V0CDWYOMW6,2019/5/28 12:56,2019/5/28 12:56,36,,Badge333,CA:72:C2:67:9B:A9,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
5VTQOYMDXP,2019/5/28 12:56,2019/5/28 12:56,35,,Badge332,FF:89:FF:66:48:E6,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
6MHNKMDN3Q,2019/5/28 12:56,2019/5/28 12:56,34,,Badge331,C8:46:08:BB:2B:B3,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
3G3F81BBVO,2019/5/28 12:56,2019/5/28 12:56,33,,Badge330,FF:A2:B7:83:8E:89,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
